played_at,title,url,channel,duration,video_id,thumbnail,queue_id
2026-07-15T20:32:18+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,7d3491132e1041328d3c38e947b8de03
2026-07-15T20:32:34+02:00,SSIO - Nullkommaneun (prod.Reaf) w/o intro,https://www.youtube.com/watch?v=SLKh8tzGElo,Sufferthefunk',3:29,SLKh8tzGElo,https://i.ytimg.com/vi/SLKh8tzGElo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGZjKWz4uyQv3j1VHmyLWavj3PRg,Julia,85f99ebf580e4e2aaee9ab6c35b967ec
2026-07-15T20:34:38+02:00,Falco - Der Kommissar (U.S. Official Video),https://www.youtube.com/watch?v=8-bgiiTxhzM,FALCO,3:48,8-bgiiTxhzM,https://i.ytimg.com/vi/8-bgiiTxhzM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUiSLc-y4Kd2Em0z4qQTDQHGOIEA,Julia,ca547b97eb4b45edb10dac49d3ba2430
2026-07-15T20:34:48+02:00,Falco - Der Kommissar (Official Video),https://www.youtube.com/watch?v=dPCu8mQZWqU,FALCO,3:50,dPCu8mQZWqU,https://i.ytimg.com/vi/dPCu8mQZWqU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC09Cqy7pevUKuXEKoHc8wKPuQOSA,Julia,1a070b5592c644e2becd986641dd9832
2026-07-15T20:35:21+02:00,Falco - Auf der Flucht (Okay 07.07.1982),https://www.youtube.com/watch?v=heJ_SIND-cQ,FALCO,4:07,heJ_SIND-cQ,https://i.ytimg.com/vi/heJ_SIND-cQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1jpfxdyxC2sV21UY3WHfndW90BQ,Julia,9c758e360d8442ef9f937d30281c8a67
2026-07-15T20:36:37+02:00,Falco-Auf der Flucht (4K Remastered),https://www.youtube.com/watch?v=Aq6hXwseu7M,Falco nl,1:19,Aq6hXwseu7M,https://i.ytimg.com/vi/Aq6hXwseu7M/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB1AaAAuADigIMCAAQARhyIEYoQDAP&rs=AOn4CLCNwKMSnxGnma5csNMR8JVxfhdl-w,Julia,83e385df579a46dd9f6e3d4fd2b60d24
2026-07-15T21:07:08+02:00,COBRAH - FEMININE ENERGY (Official Music Video),https://www.youtube.com/watch?v=ggv9UO-CLug,Cobrah,2:59,ggv9UO-CLug,https://i.ytimg.com/vi/ggv9UO-CLug/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANRxi-8zQGy8ZOo_1RYx7t5cUx8w,Julia,e7ba844e4ec34378b445a92a85d2e991
2026-07-15T21:12:54+02:00,NAFT - UNIVERSAL NATION (PUSH),https://www.youtube.com/watch?v=NuR1sHP7qS4,NAFT,4:23,NuR1sHP7qS4,https://i.ytimg.com/vi/NuR1sHP7qS4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4-pjGrHcaHaUFL-TB2yunxdeChg,Julia,b7b5fc93edba4458bfc5f965400d0548
2026-07-15T21:13:18+02:00,Universal Nation,https://www.youtube.com/watch?v=5dsdHVKHtIc,NAFT - Topic,4:05,5dsdHVKHtIc,https://i.ytimg.com/vi/5dsdHVKHtIc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC81pDRlJv2-WLj1jd_RCBVYIbfBQ,Julia,65aca4749961406584dd6547d1d7daa7
2026-07-15T21:18:02+02:00,AMARA ctk100 - TOUCH (Music Video),https://www.youtube.com/watch?v=ey91v43BC4c,Amara ctk100,2:28,ey91v43BC4c,https://i.ytimg.com/vi/ey91v43BC4c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBZdJ7Y5pCGp67DdK15tgnFK_Ir_g,Julia,c7e1c22d5e074de5bd022e2685c84044
2026-07-15T21:22:27+02:00,BL3SS x CamrinWatsin - Kisses ft. bbyclose,https://www.youtube.com/watch?v=HhQq8gaNiaM,TheGoodVibe,2:21,HhQq8gaNiaM,https://i.ytimg.com/vi/HhQq8gaNiaM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJR31Bz3is-H-onqpVSQTcJHwYUw,Julia,4de6623699884bc9a34ea3d3668601b4
2026-07-15T21:22:43+02:00,Levi Heron - The Glen (Levi Heron Edit),https://www.youtube.com/watch?v=C67F8vH2MmA,TheGoodVibe,2:53,C67F8vH2MmA,https://i.ytimg.com/vi/C67F8vH2MmA/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb_6PkKuTlOQdKT6Oi6UOVuCrXwg,Julia,694900f66df3464fb5ca54cb2e98aeb1
2026-07-15T21:22:53+02:00,BL3SS x CamrinWatsin - Kisses ft. bbyclose,https://www.youtube.com/watch?v=HhQq8gaNiaM,TheGoodVibe,2:21,HhQq8gaNiaM,https://i.ytimg.com/vi/HhQq8gaNiaM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJR31Bz3is-H-onqpVSQTcJHwYUw,Julia,c830a23db7e1427d86ec1a3bb4684450
